Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"functions, dictionaries, for loops, lists, conditional statements",identify active club members,csv,Python,CS1,2023,https://colab.research.google.com/drive/1pEKOc0jV9SxBjz2vsoLKLhjOcpbXzACf?authuser=2,Stony Brook University
"functions, string basics, for loops, assert statements, conditional statements, logical operators, arithmetic operators",image compression and decompression,,Python,CS1,2023,https://colab.research.google.com/drive/1NKY9Nii3rlJ7chcZAu8mxONP5PPv8QJ_?authuser=2,Stony Brook University
"functions, dictionaries, for loops, arithmetic operators, conditional statements, lists","inn, hotel booking",,Python,CS1,2024,https://colab.research.google.com/drive/1JGJV-FzQVgBTFu4nogdwDFjcbK56EOSW?authuser=2,Stony Brook University
"functions, dictionaries, lists, for loops, conditional statements, arithmetic operators","managing clinic patients, health, medicine",pprint,Python,CS1,2023,https://colab.research.google.com/drive/14WETZlivuguC1RMHxXGEsu5c8Ktoil45?authuser=2,Stony Brook University
"functions, for loops, conditional statements, logical operators, arithmetic operators, dictionaries, lists, string formatting",order lunch,pprint,Python,CS1,2023,https://colab.research.google.com/drive/1NwxJ-Vn-eW0cq4gNy2-UVg1ntcIfB79y?authuser=2,Stony Brook University
"functions, text files, for loops, string basics, conditional statements, arithmetic operators, lists","paint categorization and costs, art",,Python,CS1,2023,https://colab.research.google.com/drive/1S-5k7mLrYxtnMpLjcAcx5CrgRISD0EFA?authuser=2,Stony Brook University
"functions, while loops, dictionaries, arithmetic operators, lists, for loops, conditional statements",string scrambling,,Python,CS1,2023,https://colab.research.google.com/drive/1P7SS4zLcWDjb1AWayz3q7_XMR7vcjY9U?authuser=2,Stony Brook University
"text files, functions, for loops, string basics, lists, arithmetic operators",credit card bill,,Python,CS1,2023,https://colab.research.google.com/drive/1jL9q-k-YeFwrALnH6cFB5c3tobolyzA4?authuser=2,Stony Brook University
"functions, string basics, dictionaries, for loops, arithmetic operators, conditional statements, logical operators",plagiarism checker based on word count,string,Python,CS1,2023,https://colab.research.google.com/drive/1-Gwypz74EkRKnrPuxEjDlGPavGzsscTu?authuser=2,Stony Brook University
"functions, dictionaries, arithmetic operators, conditional statements, for loops",population of continents and countries,,Python,CS1,2023,https://colab.research.google.com/drive/1uv8yW98myk8rFy2abU5FZ6dqeufiFvEq?authuser=2,Stony Brook University
"functions, for loops, dictionaries, arithmetic operators, string formatting","secret shopper in grocery store, budget",,Python,CS1,2023,https://colab.research.google.com/drive/1fhFoyumQLEEs5oWsg4yPQCKdKxDikzmv?authuser=2,Stony Brook University
"functions, for loops, conditional statements, arithmetic operators, lists, dictionaries",shopping list,,Python,CS1,2023,https://colab.research.google.com/drive/1uH7-nTCIA4m1Tnz_ilhukUjsPYr2Wq4q?authuser=2,Stony Brook University
"functions, text files, lists, string basics, for loops, arithmetic operators, conditional statements","simulating database lookups, assembling a course roster",,Python,CS1,2023,https://colab.research.google.com/drive/1Cm229-UDPGz-Us6L8zyAJkMkUkttvg8p?authuser=2,Stony Brook University
"functions, for loops, dictionaries, conditional statements, arithmetic operators, lists, string formatting","sin tax, alcohol","random, pprint",Python,CS1,2023,https://colab.research.google.com/drive/1CQnAZybIxxftwYxV3AVi0QHpojEAFiQy?authuser=2,Stony Brook University
"text files, functions, for loops, string basics, conditional statements, arithmetic operators, string formatting",store receipt reader,,Python,CS1,2023,https://colab.research.google.com/drive/1yy-eSIlEDhnXMJIr89sRy5uF1PcZpBbd?authuser=2,Stony Brook University
"functions, string basics, lists, while loops, conditional statements, arithmetic operators, text files, for loops","string compressor, file compressor",,Python,CS1,2023,https://colab.research.google.com/drive/1rrwpPn2KVyNDf896x_H1fJKlb3-XmBSv?authuser=2,Stony Brook University
"tuples, functions, text files, dictionaries, for loops, arithmetic operators, string basics, lists","double cipher, encryption, mapping positions",,Python,CS1,2023,https://colab.research.google.com/drive/1X_9cErCZOn-AjtLQo_xsDUMEeDjlNBDQ?authuser=2,Stony Brook University
"functions, for loops, lists, arithmetic operators, dictionaries, conditional statements","financial checkup, budget",pprint,Python,CS1,2023,https://colab.research.google.com/drive/1kHQKHLyvpXeY-Ff4lAP59lzaDj5zKTCo?authuser=2,Stony Brook University
"functions, dictionaries, for loops, conditional statements, arithmetic operators, lists","cooperative goose game design, theivery",pprint,Python,CS1,2023,https://colab.research.google.com/drive/1aiFZF7GU3GXvetlUjfOIKgTeE1SDZzTK?authuser=2,Stony Brook University
"functions, for loops, string basics, arithmetic operators, dictionaries",vacation cost calculator,,Python,CS1,2023,https://colab.research.google.com/drive/1R8V17_B2Hqkj9ptmsCw_hpynE0wXpvXX?authuser=2,Stony Brook University
"functions, dictionaries, conditional statements, arithmetic operators, lists",amusement park visitors,pprint,Python,CS1,2023,https://colab.research.google.com/drive/1EvzcMjvMpduSruXR3xb0RYm5iysp3JyJ?authuser=2,Stony Brook University
"csv files, dataframe basics, visualization",airline delays,pandas,Python,CS1,2023,https://colab.research.google.com/drive/1nDbjUxI6GbuF1Tcu-V63oNN15KFV-jei?authuser=2,Stony Brook University
"csv files, dataframe basics","fake news, presidential election",pandas,Python,CS1,2023,https://colab.research.google.com/drive/1KkVpHg38c4eqvRf4u9FzJ0baHZ1WEUcn?authuser=2,Stony Brook University
"dataframe basics, visualization",Animal Crossing New Horizons game,pandas,Python,CS1,2023,https://colab.research.google.com/drive/1lLfxAlzZvbeksgRs-Y9pM_JXNItj6pYA?authuser=2,Stony Brook University
"dataframe basics, visualization, data cleaning","Legos, games",pandas,Python,CS1,2023,https://colab.research.google.com/drive/1vrehOjro9y2QZ5AVe3Ntni4Y3mlv6dUT?authuser=2,Stony Brook University
"dataframe basics, visualization, data cleaning",life expectancy,"pandas, seaborn, matplotlib",Python,CS1,2023,https://colab.research.google.com/drive/1p6LljAc5ukWZX4xifabbEN3FheALXKgk?authuser=2,Stony Brook University
"dataframe basics, visualization, data cleaning","NYC Airbnbs, hotels",pandas,Python,CS1,2023,https://colab.research.google.com/drive/1ZB-gyIWR7ZxxeYomciKjUtcKojpTZnnd?authuser=2,Stony Brook University
"dataframe basics, data cleaning, visualization",Seattle housing market,pandas,Python,CS1,2023,https://colab.research.google.com/drive/1gW19iDZG4BXXn6WMfDjc2-2ybzF6_0-q?authuser=2,Stony Brook University
"dataframe basics, data cleaning, visualization",cereal,pandas,Python,CS1,2023,https://colab.research.google.com/drive/1blUn4JGSWBf-odSb0yGlTi8P2km_30xY?authuser=2,Stony Brook University
"dataframe basics, data cleaning, visualization",video game sales,pandas,Python,CS1,2023,https://colab.research.google.com/drive/16BhLaHexd9_7DuajUw7Jg8aOlcxhhLQT?authuser=2,Stony Brook University
