Computing Topics,Context Topics,Libraries Used,Language,Level,Last Updated,Resource Link,Source Institution
"conditional statements, functions, programmatic arithmetic, string formatting","mathematical expressions, piecewise functions",math,Python,CS1,2023,https://colab.research.google.com/drive/1HeF6U_PZpDzAiwJvTsHKQWBTgFwEnMCu?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","mathematical expressions, piecewise functions",math,Python,CS1,2023,https://colab.research.google.com/drive/1albCVdVIturwxYlJ4PSrD4BnJWruvGo2?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","mathematical expressions, piecewise functions",,Python,CS1,2023,https://colab.research.google.com/drive/1Jp9AXercbAOJ2jqzv-AUUCWZedByqjJ9?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","mathematical expressions, piecewise functions",math,Python,CS1,2023,https://colab.research.google.com/drive/1OKx_83f8eMGBxoL4fLZbbDpWfyQIfFsK?authuser=2,Stony Brook University
"unit conversion, functions, conditional statements",temperature,,Python,CS1,2023,https://colab.research.google.com/drive/14FnkPRMI9ceW6IA8bFW9bkSv1MurFtJA?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",four operator calculator,,Python,CS1,2023,https://colab.research.google.com/drive/15Q0c3uXnqqzbjzvrDbSMVQR7MTPvzD8v?authuser=2,Stony Brook University
"conditional statements, functions",classify students as full or part time,,Python,CS1,2023,https://colab.research.google.com/drive/1fO7pM9Mf938DpkLoMP8h2DrVjLIO5x5q?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",gas rewards,,Python,CS1,2023,https://colab.research.google.com/drive/1sTDbR6u10OoWPF7eyGXmzbgA2xdd7oR1?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting",generate a purchase order,,Python,CS1,2023,https://colab.research.google.com/drive/1yHaKNGEaQf4MkK5aHemPU9cib5NrzBPR?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","food, popular fast food restuarant, meal cost calculator",,Python,CS1,2023,https://colab.research.google.com/drive/1WnYCWt-dCnrl-09EgekV5wbnGZTM-vEv?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","state (MA) unemployment benefits, economics, income, wage",,Python,CS1,2023,https://colab.research.google.com/drive/1AEEhcsOiOBvUNqtlGpG3YLoq23Uv9v_M?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","movie ticket discount, Fandango",,Python,CS1,2023,https://colab.research.google.com/drive/1KU86jhwkxx3wDGxZ2giY-mnlekjfkLBT?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","movie ticket discount, Fandango",,Python,CS1,2023,https://colab.research.google.com/drive/1h5uEGqzNW9JUsiRxSzLDZvYldsfkFq67?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","state (NY) unemployment benefits, economics, income, wage",,Python,CS1,2023,https://colab.research.google.com/drive/1AaBTY6q9To-_DVUSw84PdM9xQ4DwcPXg?authuser=2,Stony Brook University
"conditional statements, functions",personal computer assistance greeter,,Python,CS1,2023,https://colab.research.google.com/drive/1W23rgSwhaF1lpSryHbQUlIyNcObdQifp?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting",postage rates,,Python,CS1,2023,https://colab.research.google.com/drive/1TuF7CjJWxiOHhZE03D9OIpFMZ0r0JLOs?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","stock trades, economics",,Python,CS1,2023,https://colab.research.google.com/drive/1tU6FHunLbHTokyeD1alFRphfvUFZ0LIW?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic",temperature converter,,Python,CS1,2023,https://colab.research.google.com/drive/1cbpFdRLkEzjpj-trKIwjSDFCJpgnobnS?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","pizza, food, purchase order",,Python,CS1,2023,https://colab.research.google.com/drive/1XVoE0AfQEkrWmFWD33GhEdvCPChcaJzC?authuser=2,Stony Brook University
"conditional statements, functions","Ages & Stages Questionnaire, medical, child development",,Python,CS1,2023,https://colab.research.google.com/drive/1C3ml2IKzkfQnIwJijEAgwP7ZDLxtLVSr?authuser=2,Stony Brook University
"conditional statements, functions",levels of education,,Python,CS1,2023,https://colab.research.google.com/drive/1dlj-1Y1YLTCMUpDNbGXcnSYpMHd_Yrdu?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic","rewards program, school id or mascot",,Python,CS1,2023,https://colab.research.google.com/drive/1jPw7vXaRIXMB0cb2vf9eFX7hFzMFgGbd?authuser=2,Stony Brook University
"conditional statements, functions, programmatic arithmetic, string formatting","local restaurant, food, school mascot, Chipotle",,Python,CS1,2023,https://colab.research.google.com/drive/15v1sVDofWT-9ZpLThxpolTUQBTE__mjg?authuser=2,Stony Brook University
